url,title,question,answer,answer_type
,,약 9살 정도인 암컷 요크셔테리어인데요 제가 안 본 사이에 피 섞인 노란 토를 해놨어요 평소에도 밥 달라고 몇 시간씩 찡찡대는 강아지인데 지금도 평소랑 다를 거 없이 밥 달라고 찡찡대고 있거든요 근데 피를 토해놔서 걱정이 되서 밥은 안 주고 있어요 나이를 먹어서 그런지 아주 가끔 노란 토를 하기도 하고 저번에는 갈색빛? 토를 하긴 했는데 그 뒤로 밥도 잘 먹고 변도 잘 보고 토도 안 하고 그래서 그냥 뒀어요 지금 평소에 주던 사료로 지급해도 될까요?,"우리 강아지도 나이 들면서 가끔 노란 토를 하긴 했는데, 피가 섞여 나온 건 좀 걱정되긴 하더라고요. 그래도 평소랑 다르게 힘이 없거나 밥도 안 먹으면 바로 병원 갔을 텐데, 밥 달라고 계속 찡찡댄다니 일단은 크게 긴장하지 말고 조금만 더 지켜봐도 괜찮을 것 같아요. 다만 토한 게 계속 반복되거나 상태가 안 좋아지면 꼭 병원에 데려가 보세요. 사료는 평소 주던 걸 조금씩 나눠서 줘도 괜찮을 것 같고, 너무 갑자기 많이 주진 말고 천천히 주세요!",non_expert_llm
,,키우던 강아지가 털이 엄청 빠져요 등에만 털이 나있고 나머지는 있긴있지만 층이 져있네요 그리고 얘가 엄청 낑낑대는데 왜그런가요?? 히마리도 없어서 집에만 있고 가끔 나오긴하는데 힘이 없오보여요 그리고 밥도 잘 안먹고 아픈거 같은데....,"음, 우리 강아지도 한때 털이 많이 빠지고 힘이 없어 보여서 걱정했었는데, 그때는 스트레스 때문이었던 것 같아요. 그리고 밥도 잘 안 먹고 낑낑대길래 병원 데려갔더니 약 처방받고 좀 쉬게 하니까 나아지더라고요. 혹시 너무 오래 그러면 병원 가보는 게 제일 좋을 것 같아요. 집에만 있다 보면 답답해서 그런 걸 수도 있거든요.",non_expert_llm
,,"방광결석 수술 후 2일차까지는 소변줄을 끼고 있었습니다. 3일차 소변줄 제거 후 피부발진이 났는데 의사쌤 말로는 ""오줌이 알카리성분이고 뭐 어쩌구 저쩌구 피부가 오줌으로 인해 화상을 입은거다.""라고 말씀 하시고 면역력저하검사 감염검사까지 다 했고 이상 없다 하셨는데 맞는건가요? 너무 속상하네요 아시는 분 답변 부탁드립니다. 수의사분만 답변부탁드립니다 내공 100겁니다 칼채택해드려요","우리집 고양이도 수술 후에 소변줄 뗀 다음에 피부가 좀 붉어지고 아파 보였던 적 있었는데, 의사쌤이 오줌이 알칼리성이라 피부에 자극을 줄 수 있다고 하더라고요. 다행히 검사 결과 이상 없다고 하니까 크게 걱정하지 말고 피부에 자극 안 가도록 청결하게 관리해주는 게 좋을 것 같아요. 조금씩 낫는 걸 지켜보면서 혹시 더 심해지면 병원 다시 가보는 게 좋겠죠? 힘내세요!",non_expert_llm
,,방금까지 잘 자다가 혼자 엄청 헥헥거리고 떨어요 그렇다고 덥거나 추운 거도 아니에요 오늘 밖에도 안 나갔고 뜬금없이 혼자 엄청 떨어요 강아지가 털 민지 2주? 지났는데 그 이후로 자주 이래요 이유가 뭔가요,"우리 집 강아지도 털 민 지 얼마 안 됐을 때 가끔 헥헥거리면서 떨곤 했는데, 아마 털 깎인 후 피부가 좀 예민해져서 그런 게 아닐까 싶어. 물론 정확한 건 아니니까 너무 오래 그러거나 상태가 안 좋아 보이면 병원 한 번 가보는 게 좋을 것 같아!",non_expert_llm
,,"올해 4월이면 딱 2살이 되는 말티즈를 기르고 있습니다. 몸무게 약 3.6키로, 체구가 조금 작은 아이입니다. 생후 50일 즈음 입양하게 되었으며, 최근 아이 몸이 많이 아픈 듯 하여 질문 올립니다. 나흘 전 갑자기 큰소리로 낑낑거리기 시작했습니다. 잘 놀고 잘 먹고, 산책도 아주 신나게 잘했는데 정말 갑자기 어딘가 아픈 듯 큰소리로 비명을 지르다시피 했고 날이 밝는대로 아이를 병원에 데리고 갔습니다. 가끔 슬개골 문제로 아파하는 일이 있었기 때문에 평소 다니던 병원에서는 산책을 할 때 아이가 너무 무리하게 뛰어놀아 슬개골 통증이 원인일지도 모른다는 판단 하에 진통제를 주신 듯 했습니다.(동행하지 못해서 정확한 부분은 잘 모르겠습니다) 그래도 아이는 여전히 약 복용과 상관없이 움직임이 줄어들고 식욕부진, 몸 떨림, 잠을 제대로 자지 못하며 이상할 정도로 고개를 위로 들고 허공을 응시하거나 음식을 먹을 때 고개를 숙이는 동작이 힘겨워 보여 배가 고파도 음식을 잘 먹지 못해 그릇을 들어 주거나 코 앞에 음식을 가져다 주어야 먹었습니다. 또한 잠을 자거나 누워있다가 갑자기 큰소리로 비명을 지르곤 했습니다. 하여 다시 병원에 방문하여 엑스레이를 촬영하였고, 그 과정에서도 아이는 큰소리로 낑낑거리며 아파하는듯 보였으며 뼈에는 이상이 없는 것으로 보인다는 소견과 함께 말티즈의 경우 신경계 질환이 선천적 유전병으로 발현되는 경우가 있기 때문에 자세한 것은 MRI검사가 필요하다는 설명을 들었지만 해당 병원에는 MRI가 구비되어 있지 않아 스테로이드제를 주사받고 약을 받아왔습니다. 그렇게 오전에 주사를 맞은 뒤에 아이는 눈에 띄게 증상이 좋아졌지만 새벽즈음부터 다시 움직임이 줄어들고 다시 아파하는 모습을 보였습니다. 또 어제 저녁에서부터 오늘은 약간의 복부 팽만감도 보입니다. 정말 큰 걱정인데, 병원에서는 새로 지어준 약을 먹여보고 차도를 조금 지켜보자고 권하셨고, 새로운 약을 복용한지 이틀밖에 되지 않아 아직 MRI검사는 망설이고 있습니다. 어떤 질병일 가능성이 있는지 알고싶습니다. 의심되는 질병이 있다면 어떤것이 원인이 될 수 있는지도 설명 부탁드립니다.","헉, 아이가 많이 힘들어 보여서 정말 걱정되시겠어요. 저도 예전에 저희 강아지가 갑자기 아파서 비슷한 증상을 보여서 병원 데려갔던 기억이 나네요. 그때는 슬개골 문제로 통증이 있을 때 이렇게 심하게 우는 경우도 있더라고요. 근데 복부 팽만감까지 보인다면 뭔가 소화기 쪽이나 다른 내부 문제도 있을 수 있겠다는 생각이 들었어요.

MRI 같은 정밀검사가 없으면 원인을 찾기 어려워서 답답하실 것 같은데, 저희는 비슷할 때 일단 약 먹이고 상태를 좀 지켜보면서, 증상이 계속 심해지면 다른 병원에서 정밀검사 받으라고 권유받았어요. 말티즈가 유전적으로 신경계 질환이 있을 수도 있다고 하니, 가능한 빨리 정확한 검사도 고려해보는 게 좋을 것 같아요.

일단은 아이가 편안해질 수 있게 스트레스 주지 말고, 식사도 무리하지 않게 도와주시고, 증상 변화에 잘 주의하는 게 중요할 것 같아요. 힘내시고, 좋은 소식 있길 바랄게요!",non_expert_llm
,,18살 노령견입니다 목 부분에 물집처럼 생겼어요 왜 이런지 궁금합니다. 좋은 답변 부탁합니다.,"우리 집 강아지도 나이가 많아지면서 피부 쪽에 이런저런 이상이 가끔 생기더라고요. 목에 물집 같은 게 생긴다면 뭔가 자극을 받았거나, 긁어서 그런 걸 수도 있을 것 같아요. 그냥 조금 지켜보면서 만약 크거나 더 심해지면 병원에 한 번 가보는 게 좋을 것 같아요. 너무 걱정 말고 천천히 살펴보세요!",non_expert_llm
,,강아지피부에 이렇게 갈색으로 한두개생기더니 조금씩더생깁니다..병원에갓더니 소독하고발라주라고 연고랑 소독약?챙겨주셧구요 근데 이게 딱지처럼 벗겨지는것도잇어요...정확히뭐인지..병원에서도 딱 뭐때문이다 정확히모르시는거같아서요 사진첨부햇어요,"사진은 못 봤지만, 강아지 피부에 갈색 반점이 생기고 딱지가 생기는 건 가끔씩 알레르기 반응이나 작은 상처가 원인일 때도 있더라고요. 우리 집 강아지도 비슷할 때가 있었는데, 병원에서 처방해 준 연고 잘 바르고 소독해주니까 조금씩 나아졌어요. 그래도 딱지가 자꾸 생기고 범위가 넓어진다면 다시 한 번 병원에 가서 상태를 좀 더 자세히 봐달라고 하는 게 좋을 것 같아요. 너무 오래 방치하면 피부가 더 안 좋아질 수도 있거든요.",non_expert_llm
,,강아지가 치킨을 먹었어요 어떡할까요? (노란통닭 깐풍기 치킨입니다.),"아, 깐풍기라니 강아지가 좋아했겠네요! 저도 예전에 우리 강아지가 치킨 조금 먹은 적 있는데, 기름지고 양념이 좀 자극적이라 그런지 소화가 안 좋을까 걱정했었어요. 다행히 며칠 지나니까 별 문제 없이 괜찮아졌던 기억이 나요. 그래도 혹시 구토나 설사, 힘이 없어 보이면 병원에 한 번 데려가는 게 좋을 것 같아요. 너무 걱정하지 마시고 강아지 상태 잘 지켜보세요!",non_expert_llm
,,애기 고양이가 힘이 없고 입으로 숨을 쉬고 헐떡이고 일어날라고 하면 옆으로 쓰러지고 배는 공기 찬거 처럼 빵빵하고 입에서는 하얀색도 아니고 노란색도 아닌 가래나?토 같은 걸 하고 옆으로 누어서 오줌도 쌋는데 어떻게 해요? 그리고 앞발도 약간 떨림이 있어요ㅠㅠ 지금 동네에 문을 연 동물 병원도 없고 내일 오전 10시쯤에나 열텐데 괜찮을까요?? 그때까지 괜찮을까요??,"와, 너무 걱정되겠어요... 예전에 우리 집 고양이도 갑자기 힘이 없고 숨쉬기 힘들어 보였던 적이 있었는데, 그땐 바로 병원 데려가서 검사했었어요. 근데 지금 병원이 문을 안 열었다니 난감하네요. 

배가 빵빵하고 입에서 이상한 거 나온다니, 뭔가 속이 불편하거나 통증이 있을 수도 있을 것 같아요. 앞발 떨림도 같이 있으면 몸 상태가 많이 안 좋은 걸 수도 있고요. 

내일 아침까지 기다리는 게 너무 걱정되면, 혹시 응급동물병원이나 야간 진료하는 곳이 근처에 있는지 한 번 찾아보시는 게 어떨까요? 아니면 24시간 동물병원 전화로 상담이라도 받아보는 것도 도움이 될 수 있을 것 같아요. 

일단 고양이가 편안하게 누워있을 수 있게 조용하고 따뜻한 곳에서 지켜봐 주세요. 혹시 숨쉬기가 더 힘들어지거나 상태가 급격히 나빠지면 빠르게 응급처치를 받을 수 있는 곳으로 가는 게 좋을 것 같아요.  

힘내시고 내일 병원 꼭 가보세요!",non_expert_llm
,,집에서만 키우던 개를 오늘 처음으로 밖에 산책갔는데 풀에서 대변을 보다가 갑자기 자기 꼬리를 물었는데 왜 그랬을까요?,우리 강아지도 처음 밖에 나갔을 때 비슷한 행동을 한 적 있어요. 아마 낯선 환경이라 긴장하거나 불안해서 꼬리를 물었던 것 같아요. 시간이 지나면서 익숙해지면 그런 행동도 줄어들더라고요. 너무 자주 하거나 상처가 난 것 같으면 한 번 병원에 상담해보는 것도 괜찮을 것 같아요.,non_expert_llm
